symbol,date,open,high,low,close,volume,candle_direction,body_size,candle_range,rolling_avg_close,body_strength,distance_from_avg,rolling_avg_body_size,rolling_avg_volume,trend_direction,signal,daily_range_pct,rolling_avg_range_pct,entry_price,entry_date,rr,risk_distance,stop_loss,take_profit
TSLA,2025-07-10,300.05,310.48,300.0,309.87,104365300,bullish_candle,9.82,10.48,302.57,0.94,2.41,3.5,94483819.0,bullish_trend,strong_bullish_move,3.38,3.93,307.89,2025-07-11,1:2,12.1,295.79,332.09
TSLA,2025-08-06,307.89,320.47,306.93,319.91,78523600,bullish_candle,12.02,13.54,309.76,0.89,3.28,5.47,77912234.0,bullish_trend,strong_bullish_move,4.23,3.58,319.79,2025-08-07,1:2,11.45,308.34,342.69
TSLA,2025-08-22,321.66,340.25,319.69,340.01,94016347,bullish_candle,18.35,20.56,329.7,0.89,3.13,7.53,72031039.0,bullish_trend,strong_bullish_move,6.05,3.49,338.9,2025-08-25,1:2,11.83,327.07,362.56
TSLA,2025-09-11,350.17,368.99,347.6,368.81,103756010,bullish_candle,18.64,21.39,352.16,0.87,4.73,6.79,82778362.0,bullish_trend,strong_bullish_move,5.8,3.58,370.94,2025-09-12,1:2,13.28,357.66,397.5
TSLA,2025-09-12,370.94,396.69,370.24,395.94,168156400,bullish_candle,25.0,26.45,361.18,0.95,9.62,11.22,94611682.0,bullish_trend,strong_bullish_move,6.68,3.63,423.13,2025-09-15,1:2,15.36,407.77,453.85
TSLA,2025-10-01,443.8,462.29,440.75,459.46,98122300,bullish_candle,15.66,21.54,442.24,0.73,3.89,8.79,90069287.0,bullish_trend,strong_bullish_move,4.69,3.89,470.54,2025-10-02,1:2,18.3,452.24,507.14
TSLA,2025-11-03,455.99,474.07,453.8,468.37,84595244,bullish_candle,12.38,20.27,457.42,0.61,2.39,7.98,77669645.0,bullish_trend,strong_bullish_move,4.33,3.84,454.46,2025-11-04,1:2,17.45,437.01,489.36
TSLA,2025-12-03,432.1,447.92,431.11,446.74,87483000,bullish_candle,14.64,16.81,432.57,0.87,3.28,5.45,62799825.0,bullish_trend,strong_bullish_move,3.76,4.46,449.94,2025-12-04,1:2,20.07,429.87,490.08
TSLA,2025-12-16,472.21,491.5,465.83,489.88,107608100,bullish_candle,17.67,25.67,464.5,0.69,5.46,8.37,87408811.0,bullish_trend,strong_bullish_move,5.24,2.96,488.22,2025-12-17,1:2,14.45,473.77,517.12
TSLA,2026-01-22,435.16,449.5,432.63,449.36,71546729,bullish_candle,14.2,16.87,435.22,0.84,3.25,7.73,62508896.0,bullish_trend,strong_bullish_move,3.75,3.19,447.43,2026-01-23,1:2,14.27,433.16,475.97
TSLA,2026-04-15,366.83,394.65,362.5,391.95,113810400,bullish_candle,25.12,32.15,360.63,0.78,8.68,7.83,68181511.0,bullish_trend,strong_bullish_move,8.2,3.94,393.81,2026-04-16,1:2,15.52,378.29,424.85
TSLA,2026-05-06,386.25,401.68,384.02,398.73,53465400,bullish_candle,12.48,17.66,390.61,0.71,2.08,7.56,53285103.0,bullish_trend,strong_bullish_move,4.43,3.54,407.48,2026-05-07,1:2,14.42,393.06,436.32
TSLA,2026-05-08,416.48,431.2,416.39,428.35,65050000,bullish_candle,11.87,14.81,404.15,0.8,5.99,7.35,55871080.0,bullish_trend,strong_bullish_move,3.46,3.37,422.16,2026-05-11,1:2,14.23,407.93,450.62
TSLA,2026-05-11,422.16,449.16,416.8,445.0,78376127,bullish_candle,22.84,32.36,414.65,0.71,7.32,11.46,61793277.0,bullish_trend,strong_bullish_move,7.27,3.73,441.41,2026-05-12,1:2,16.46,424.95,474.33
